category,amount,frequency_deviation,day_of_month,is_weekend,is_anomaly,note
shopping,13643.64,1.66,5,1,0,Normal transaction in shopping
shopping,5453.41,0.89,11,0,0,Normal transaction in shopping
food,137.72,0.48,17,0,0,Normal transaction in food
shopping,975.38,1.77,15,1,0,Normal transaction in shopping
entertainment,18053.91,4.86,23,0,1,Unusual high spike in entertainment
shopping,12624.12,1.64,4,1,0,Normal transaction in shopping
food,1002.08,1.56,3,0,0,Normal transaction in food
transport,3936.14,1.78,4,0,0,Normal transaction in transport
education,17801.2,0.76,5,1,0,Normal transaction in education
transport,2983.34,1.04,7,1,0,Normal transaction in transport
other,1960.7,0.73,2,0,0,Normal transaction in other
rent,35735.95,1.69,11,1,0,Normal transaction in rent
other,4463.42,0.34,6,1,0,Normal transaction in other
food,884.32,1.06,28,1,0,Normal transaction in food
transport,1462.14,1.79,15,0,0,Normal transaction in transport
shopping,8490.54,1.8,22,1,0,Normal transaction in shopping
other,2836.96,0.22,9,0,0,Normal transaction in other
transport,4363.64,0.45,9,1,0,Normal transaction in transport
rent,29230.84,1.73,12,1,0,Normal transaction in rent
transport,1885.91,0.59,26,0,0,Normal transaction in transport
food,1198.75,1.66,7,0,0,Normal transaction in food
education,19942.08,1.36,21,0,0,Normal transaction in education
education,18137.15,0.54,17,1,0,Normal transaction in education
other,1484.49,1.25,6,0,0,Normal transaction in other
health,2932.08,1.25,5,1,0,Normal transaction in health
education,10366.94,0.92,11,0,0,Normal transaction in education
transport,1632.49,1.44,7,0,0,Normal transaction in transport
health,34423.74,6.82,7,1,1,Unusual high spike in health
entertainment,2567.66,1.66,28,1,0,Normal transaction in entertainment
entertainment,11817.74,5.33,22,0,1,Unusual high spike in entertainment
education,5476.73,0.98,13,1,0,Normal transaction in education
rent,136859.72,6.16,11,1,1,Unusual high spike in rent
other,5379.06,1.46,23,1,0,Normal transaction in other
transport,841.9,0.25,18,0,0,Normal transaction in transport
shopping,11253.74,1.09,3,1,0,Normal transaction in shopping
transport,797.85,1.37,27,1,0,Normal transaction in transport
health,3311.13,0.65,12,1,0,Normal transaction in health
entertainment,624.19,0.63,24,0,0,Normal transaction in entertainment
entertainment,2596.37,1.49,26,1,0,Normal transaction in entertainment
other,764.19,1.31,9,0,0,Normal transaction in other
entertainment,203.66,0.76,28,1,0,Normal transaction in entertainment
rent,17209.24,0.56,10,1,0,Normal transaction in rent
shopping,15500.94,1.73,11,1,0,Normal transaction in shopping
education,20490.75,1.44,5,1,0,Normal transaction in education
transport,1626.35,0.86,13,1,0,Normal transaction in transport
entertainment,1286.91,0.44,26,1,0,Normal transaction in entertainment
education,12973.07,0.21,11,1,0,Normal transaction in education
food,13673.44,5.35,24,0,1,Unusual high spike in food
health,4867.45,1.55,15,1,0,Normal transaction in health
health,2043.85,1.17,16,1,0,Normal transaction in health
entertainment,899.45,1.34,24,1,0,Normal transaction in entertainment
other,1687.51,1.64,26,1,0,Normal transaction in other
health,2946.46,0.84,15,0,0,Normal transaction in health
health,3592.35,1.68,27,1,0,Normal transaction in health
entertainment,1865.17,0.62,21,1,0,Normal transaction in entertainment
rent,22406.03,1.74,22,0,0,Normal transaction in rent
health,7664.99,0.82,28,0,0,Normal transaction in health
transport,3284.87,1.49,3,0,0,Normal transaction in transport
other,531.88,1.48,17,1,0,Normal transaction in other
transport,2261.91,0.65,22,1,0,Normal transaction in transport
transport,4197.79,0.76,13,0,0,Normal transaction in transport
entertainment,2092.9,1.41,23,1,0,Normal transaction in entertainment
shopping,6474.43,1.73,8,0,0,Normal transaction in shopping
other,26765.53,3.74,22,1,1,Unusual high spike in other
education,4546.81,0.27,17,1,0,Normal transaction in education
rent,25716.09,1.69,19,0,0,Normal transaction in rent
entertainment,8595.0,3.75,20,1,1,Unusual high spike in entertainment
other,5234.57,1.55,12,1,0,Normal transaction in other
education,5617.78,0.69,3,1,0,Normal transaction in education
food,1330.66,0.95,9,0,0,Normal transaction in food
shopping,17210.79,0.21,10,0,0,Normal transaction in shopping
food,17050.04,5.7,5,1,1,Unusual high spike in food
education,9797.12,0.27,24,0,0,Normal transaction in education
education,10884.9,1.67,16,1,0,Normal transaction in education
other,4624.76,0.9,16,0,0,Normal transaction in other
shopping,1165.65,0.73,4,0,0,Normal transaction in shopping
transport,2081.52,1.43,7,1,0,Normal transaction in transport
other,5866.34,1.22,21,0,0,Normal transaction in other
entertainment,1403.28,0.78,23,0,0,Normal transaction in entertainment
transport,1232.31,1.67,11,1,0,Normal transaction in transport
food,1580.84,0.8,27,0,0,Normal transaction in food
food,1613.06,0.91,18,1,0,Normal transaction in food
rent,270127.79,4.76,22,1,1,Unusual high spike in rent
transport,3530.7,0.81,10,0,0,Normal transaction in transport
rent,37792.74,0.38,8,0,0,Normal transaction in rent
education,1867.19,1.44,22,1,0,Normal transaction in education
transport,1608.9,0.43,17,0,0,Normal transaction in transport
rent,25828.64,0.89,4,0,0,Normal transaction in rent
shopping,3304.4,0.61,4,1,0,Normal transaction in shopping
education,17677.32,1.55,18,1,0,Normal transaction in education
rent,35478.06,0.37,23,1,0,Normal transaction in rent
other,5675.81,0.34,20,0,0,Normal transaction in other
entertainment,13743.82,3.47,13,0,1,Unusual high spike in entertainment
transport,2616.11,0.88,18,1,0,Normal transaction in transport
transport,1873.06,1.41,24,1,0,Normal transaction in transport
education,1895.54,1.25,23,0,0,Normal transaction in education
shopping,15383.62,1.36,12,0,0,Normal transaction in shopping
transport,2596.8,1.64,3,0,0,Normal transaction in transport
entertainment,1372.88,0.94,16,1,0,Normal transaction in entertainment
transport,348.89,0.68,2,1,0,Normal transaction in transport
food,1940.68,0.99,7,1,0,Normal transaction in food
rent,7921.92,0.61,8,1,0,Normal transaction in rent
transport,3755.54,1.76,28,1,0,Normal transaction in transport
food,840.77,0.65,22,1,0,Normal transaction in food
rent,26195.56,0.64,16,1,0,Normal transaction in rent
health,240.18,1.65,5,0,0,Normal transaction in health
health,7130.83,0.46,1,1,0,Normal transaction in health
food,14207.79,4.92,5,0,1,Unusual high spike in food
shopping,15214.38,1.15,2,1,0,Normal transaction in shopping
transport,230.83,1.63,20,0,0,Normal transaction in transport
rent,36026.26,1.19,2,0,0,Normal transaction in rent
rent,36647.36,0.92,3,0,0,Normal transaction in rent
rent,21747.4,1.24,13,0,0,Normal transaction in rent
rent,11620.5,1.31,7,0,0,Normal transaction in rent
food,452.38,0.53,24,0,0,Normal transaction in food
food,3370.12,0.71,16,1,0,Normal transaction in food
rent,7506.52,1.8,22,1,0,Normal transaction in rent
other,20430.43,6.72,3,0,1,Unusual high spike in other
other,919.11,0.31,4,0,0,Normal transaction in other
shopping,7146.45,1.64,21,1,0,Normal transaction in shopping
food,814.4,1.38,23,0,0,Normal transaction in food
education,16777.75,1.1,25,1,0,Normal transaction in education
education,7231.82,1.51,15,1,0,Normal transaction in education
education,17549.69,1.05,8,0,0,Normal transaction in education
transport,399.16,1.57,17,0,0,Normal transaction in transport
education,1502.25,0.74,19,1,0,Normal transaction in education
food,2442.66,0.45,14,0,0,Normal transaction in food
education,5518.69,0.6,19,1,0,Normal transaction in education
food,3425.55,1.28,17,1,0,Normal transaction in food
rent,37960.25,0.87,23,1,0,Normal transaction in rent
shopping,2816.27,0.67,11,1,0,Normal transaction in shopping
other,5101.18,1.59,27,0,0,Normal transaction in other
health,5569.22,1.23,9,0,0,Normal transaction in health
education,17478.13,0.55,27,1,0,Normal transaction in education
other,1071.13,0.48,6,1,0,Normal transaction in other
entertainment,306.13,1.12,23,0,0,Normal transaction in entertainment
health,4145.41,1.23,28,0,0,Normal transaction in health
other,972.68,0.96,2,0,0,Normal transaction in other
entertainment,299.79,0.29,11,0,0,Normal transaction in entertainment
other,685.63,0.25,23,0,0,Normal transaction in other
education,16794.3,1.48,27,0,0,Normal transaction in education
food,134.33,0.82,19,0,0,Normal transaction in food
other,2346.19,0.45,20,1,0,Normal transaction in other
rent,20453.62,1.1,21,0,0,Normal transaction in rent
shopping,3636.85,0.21,13,1,0,Normal transaction in shopping
health,3733.19,0.52,13,1,0,Normal transaction in health
rent,43566.49,1.06,18,1,0,Normal transaction in rent
education,3311.5,1.64,8,0,0,Normal transaction in education
education,15145.64,1.34,17,0,0,Normal transaction in education
other,4392.92,1.34,6,1,0,Normal transaction in other
health,7910.64,1.34,24,1,0,Normal transaction in health
health,1609.99,0.77,9,0,0,Normal transaction in health
education,140623.02,6.39,25,0,1,Unusual high spike in education
other,1486.76,0.77,3,1,0,Normal transaction in other
health,733.76,1.05,17,0,0,Normal transaction in health
shopping,12253.38,0.89,21,0,0,Normal transaction in shopping
shopping,15553.4,0.87,7,1,0,Normal transaction in shopping
transport,1327.72,1.16,6,1,0,Normal transaction in transport
other,3863.37,1.46,6,0,0,Normal transaction in other
shopping,4337.62,0.57,1,0,0,Normal transaction in shopping
shopping,13127.15,0.57,13,0,0,Normal transaction in shopping
rent,38652.96,1.29,4,1,0,Normal transaction in rent
rent,37007.04,0.5,18,0,0,Normal transaction in rent
transport,288.12,0.32,25,1,0,Normal transaction in transport
transport,3611.47,1.75,22,0,0,Normal transaction in transport
transport,3678.91,1.45,16,1,0,Normal transaction in transport
education,85313.31,6.56,24,1,1,Unusual high spike in education
shopping,17652.18,0.64,1,1,0,Normal transaction in shopping
food,1696.42,1.47,8,0,0,Normal transaction in food
shopping,752.11,1.71,14,0,0,Normal transaction in shopping
food,2293.64,1.21,3,0,0,Normal transaction in food
health,683.3,0.93,5,0,0,Normal transaction in health
entertainment,425.68,0.82,19,0,0,Normal transaction in entertainment
education,8688.01,1.43,8,0,0,Normal transaction in education
education,5218.7,0.36,6,1,0,Normal transaction in education
shopping,9156.85,0.38,27,0,0,Normal transaction in shopping
transport,3152.99,0.42,21,0,0,Normal transaction in transport
shopping,14453.71,1.07,21,1,0,Normal transaction in shopping
food,14676.25,6.41,1,0,1,Unusual high spike in food
education,13072.32,0.62,21,0,0,Normal transaction in education
other,1657.12,1.23,22,0,0,Normal transaction in other
entertainment,1291.73,0.28,4,1,0,Normal transaction in entertainment
health,3287.78,0.42,24,1,0,Normal transaction in health
education,15246.73,1.13,1,1,0,Normal transaction in education
education,8638.98,0.61,15,0,0,Normal transaction in education
education,13895.02,1.11,9,1,0,Normal transaction in education
transport,118.55,0.9,13,1,0,Normal transaction in transport
rent,39107.47,0.51,3,1,0,Normal transaction in rent
rent,44382.03,0.27,28,1,0,Normal transaction in rent
rent,15458.29,1.53,9,1,0,Normal transaction in rent
entertainment,812.78,1.18,21,0,0,Normal transaction in entertainment
education,146827.44,5.59,7,0,1,Unusual high spike in education
food,1375.95,0.4,23,1,0,Normal transaction in food
shopping,3859.84,0.99,16,0,0,Normal transaction in shopping
transport,2767.43,0.41,23,1,0,Normal transaction in transport
entertainment,1057.69,1.19,1,1,0,Normal transaction in entertainment
rent,6771.75,1.27,16,1,0,Normal transaction in rent
health,4393.53,0.94,1,0,0,Normal transaction in health
other,1017.06,1.12,18,0,0,Normal transaction in other
food,1610.17,1.01,28,0,0,Normal transaction in food
shopping,10226.83,0.57,4,0,0,Normal transaction in shopping
transport,225.1,0.53,22,0,0,Normal transaction in transport
transport,1560.77,1.73,21,0,0,Normal transaction in transport
health,7639.77,0.26,18,0,0,Normal transaction in health
health,6223.59,1.02,23,0,0,Normal transaction in health
shopping,12209.57,1.08,27,0,0,Normal transaction in shopping
education,18743.56,1.31,15,1,0,Normal transaction in education
transport,1287.67,0.49,10,0,0,Normal transaction in transport
transport,156.11,0.47,27,0,0,Normal transaction in transport
entertainment,2424.99,1.75,21,0,0,Normal transaction in entertainment
education,15503.88,0.47,15,1,0,Normal transaction in education
other,778.04,1.59,21,1,0,Normal transaction in other
entertainment,1768.52,1.56,23,0,0,Normal transaction in entertainment
other,5309.59,0.84,9,1,0,Normal transaction in other
entertainment,1643.5,0.3,22,0,0,Normal transaction in entertainment
rent,11270.38,1.08,20,0,0,Normal transaction in rent
rent,7813.94,0.92,2,1,0,Normal transaction in rent
entertainment,1042.74,1.54,4,0,0,Normal transaction in entertainment
rent,15844.91,0.88,6,0,0,Normal transaction in rent
shopping,14012.98,0.42,9,1,0,Normal transaction in shopping
transport,2013.47,1.39,2,1,0,Normal transaction in transport
shopping,17195.98,0.56,16,0,0,Normal transaction in shopping
transport,3683.91,1.18,22,1,0,Normal transaction in transport
education,11478.54,1.8,10,1,0,Normal transaction in education
rent,37925.16,0.46,18,0,0,Normal transaction in rent
shopping,2280.52,0.65,18,1,0,Normal transaction in shopping
transport,3821.06,1.4,9,0,0,Normal transaction in transport
education,10720.63,0.81,23,1,0,Normal transaction in education
other,2611.9,1.65,9,1,0,Normal transaction in other
transport,24715.97,4.44,1,1,1,Unusual high spike in transport
shopping,15280.65,0.89,9,1,0,Normal transaction in shopping
education,19116.08,0.83,26,0,0,Normal transaction in education
health,2214.63,1.1,14,0,0,Normal transaction in health
shopping,13628.49,0.24,18,0,0,Normal transaction in shopping
health,6922.98,0.64,12,0,0,Normal transaction in health
education,6104.17,0.86,6,1,0,Normal transaction in education
transport,19090.83,4.79,9,0,1,Unusual high spike in transport
food,21752.63,4.71,11,1,1,Unusual high spike in food
education,12797.47,0.7,26,1,0,Normal transaction in education
other,1271.74,1.58,27,0,0,Normal transaction in other
shopping,2498.08,0.66,16,0,0,Normal transaction in shopping
education,22994.57,0.97,3,0,0,Normal transaction in education
transport,3020.51,1.46,24,1,0,Normal transaction in transport
health,1244.01,1.06,22,1,0,Normal transaction in health
shopping,78934.2,5.18,16,1,1,Unusual high spike in shopping
rent,7269.2,0.67,18,0,0,Normal transaction in rent
food,1273.03,0.21,17,1,0,Normal transaction in food
education,19960.47,1.05,12,0,0,Normal transaction in education
education,17127.68,1.45,22,0,0,Normal transaction in education
entertainment,745.96,1.29,10,0,0,Normal transaction in entertainment
other,5301.81,1.68,6,1,0,Normal transaction in other
shopping,1830.23,1.49,24,1,0,Normal transaction in shopping
transport,16337.08,5.61,7,0,1,Unusual high spike in transport
food,954.03,1.32,22,1,0,Normal transaction in food
shopping,10087.96,0.42,5,0,0,Normal transaction in shopping
other,3433.6,0.44,6,0,0,Normal transaction in other
food,960.73,1.3,4,0,0,Normal transaction in food
food,651.6,1.78,12,1,0,Normal transaction in food
transport,18107.8,6.32,25,1,1,Unusual high spike in transport
rent,31244.15,0.97,26,1,0,Normal transaction in rent
shopping,10226.31,1.5,9,0,0,Normal transaction in shopping
education,23373.52,0.29,17,1,0,Normal transaction in education
rent,12417.33,0.21,12,0,0,Normal transaction in rent
entertainment,2329.54,1.65,7,0,0,Normal transaction in entertainment
shopping,732.65,0.5,3,0,0,Normal transaction in shopping
food,2173.57,1.52,26,1,0,Normal transaction in food
education,22839.22,0.21,8,1,0,Normal transaction in education
other,799.56,1.37,8,1,0,Normal transaction in other
shopping,3156.86,1.27,16,1,0,Normal transaction in shopping
health,3595.29,1.44,7,0,0,Normal transaction in health
other,20392.23,5.41,27,1,1,Unusual high spike in other
entertainment,870.73,1.37,8,1,0,Normal transaction in entertainment
other,2343.73,0.39,12,0,0,Normal transaction in other
health,2225.31,0.81,10,1,0,Normal transaction in health
shopping,1069.91,0.87,18,0,0,Normal transaction in shopping
entertainment,1227.86,0.45,20,0,0,Normal transaction in entertainment
education,1574.13,0.74,21,1,0,Normal transaction in education
transport,2380.94,0.9,27,0,0,Normal transaction in transport
entertainment,1251.21,0.76,17,0,0,Normal transaction in entertainment
health,6197.15,1.28,13,1,0,Normal transaction in health
education,4743.73,0.57,18,0,0,Normal transaction in education
entertainment,2063.3,0.26,7,1,0,Normal transaction in entertainment
education,16134.0,0.24,16,0,0,Normal transaction in education
health,2181.04,0.52,24,0,0,Normal transaction in health
health,5758.69,0.55,8,1,0,Normal transaction in health
rent,36521.85,1.09,24,1,0,Normal transaction in rent
entertainment,2551.73,1.36,3,0,0,Normal transaction in entertainment
other,1743.45,0.5,26,0,0,Normal transaction in other
transport,3461.84,1.45,5,0,0,Normal transaction in transport
food,1983.8,1.22,26,1,0,Normal transaction in food
shopping,9875.57,0.48,22,0,0,Normal transaction in shopping
shopping,16635.07,1.24,19,0,0,Normal transaction in shopping
food,2698.45,0.78,23,1,0,Normal transaction in food
education,13459.96,0.65,16,0,0,Normal transaction in education
entertainment,1853.61,0.84,12,1,0,Normal transaction in entertainment
transport,2206.52,1.79,6,1,0,Normal transaction in transport
food,453.42,1.21,20,0,0,Normal transaction in food
transport,2568.83,1.54,24,0,0,Normal transaction in transport
shopping,549.82,1.57,10,1,0,Normal transaction in shopping
education,16011.15,0.81,4,1,0,Normal transaction in education
rent,11515.63,1.74,16,0,0,Normal transaction in rent
transport,4437.23,1.33,16,1,0,Normal transaction in transport
rent,31082.64,0.9,27,0,0,Normal transaction in rent
other,143.86,0.91,14,0,0,Normal transaction in other
health,484.1,1.28,11,1,0,Normal transaction in health
entertainment,517.04,0.45,27,1,0,Normal transaction in entertainment
health,2899.64,0.24,14,0,0,Normal transaction in health
rent,32782.41,0.65,18,0,0,Normal transaction in rent
food,1426.47,0.98,13,0,0,Normal transaction in food
health,2968.73,0.77,4,1,0,Normal transaction in health
shopping,13448.82,1.27,12,1,0,Normal transaction in shopping
shopping,90223.3,6.04,26,1,1,Unusual high spike in shopping
other,3352.42,0.63,12,0,0,Normal transaction in other
transport,1019.71,0.91,18,0,0,Normal transaction in transport
entertainment,2387.84,0.8,7,1,0,Normal transaction in entertainment
shopping,8044.54,1.7,11,0,0,Normal transaction in shopping
rent,13428.58,1.49,19,0,0,Normal transaction in rent
rent,44227.87,0.32,27,1,0,Normal transaction in rent
education,21878.99,0.28,8,1,0,Normal transaction in education
rent,15972.14,0.44,14,0,0,Normal transaction in rent
transport,1810.68,1.29,11,0,0,Normal transaction in transport
rent,14850.3,1.26,9,0,0,Normal transaction in rent
health,3240.04,1.19,28,0,0,Normal transaction in health
rent,12741.28,1.56,6,1,0,Normal transaction in rent
rent,37535.47,1.06,19,0,0,Normal transaction in rent
health,4227.82,1.68,27,1,0,Normal transaction in health
entertainment,1060.16,1.12,18,1,0,Normal transaction in entertainment
other,1519.99,1.47,2,0,0,Normal transaction in other
entertainment,958.25,1.07,20,0,0,Normal transaction in entertainment
other,2689.54,1.35,27,1,0,Normal transaction in other
entertainment,2730.18,0.81,16,1,0,Normal transaction in entertainment
health,7136.27,1.11,1,0,0,Normal transaction in health
entertainment,2004.52,0.6,27,0,0,Normal transaction in entertainment
entertainment,1220.91,0.76,3,1,0,Normal transaction in entertainment
rent,8751.08,1.63,5,0,0,Normal transaction in rent
rent,5806.52,0.99,28,0,0,Normal transaction in rent
entertainment,1564.13,1.25,27,1,0,Normal transaction in entertainment
food,1401.25,1.36,24,1,0,Normal transaction in food
health,24125.39,4.89,5,0,1,Unusual high spike in health
health,4972.86,0.3,5,1,0,Normal transaction in health
transport,375.98,1.16,18,0,0,Normal transaction in transport
health,5285.72,0.99,14,1,0,Normal transaction in health
shopping,7269.69,0.58,14,1,0,Normal transaction in shopping
entertainment,2464.38,0.7,28,1,0,Normal transaction in entertainment
education,23833.43,0.23,20,0,0,Normal transaction in education
education,12096.72,1.4,28,1,0,Normal transaction in education
transport,3200.04,1.41,25,0,0,Normal transaction in transport
entertainment,2535.79,1.11,6,0,0,Normal transaction in entertainment
food,2716.57,0.77,1,1,0,Normal transaction in food
rent,26875.32,0.44,2,1,0,Normal transaction in rent
food,2202.52,1.18,21,1,0,Normal transaction in food
entertainment,2581.43,0.75,18,1,0,Normal transaction in entertainment
health,1469.04,1.44,10,0,0,Normal transaction in health
rent,37928.92,0.54,8,1,0,Normal transaction in rent
health,2510.12,1.04,14,0,0,Normal transaction in health
transport,793.79,1.05,26,1,0,Normal transaction in transport
education,7298.3,0.45,26,0,0,Normal transaction in education
health,7552.95,0.29,24,1,0,Normal transaction in health
food,3159.35,0.85,20,0,0,Normal transaction in food
other,576.37,0.4,4,1,0,Normal transaction in other
shopping,101538.36,6.61,24,0,1,Unusual high spike in shopping
food,1427.08,1.03,23,0,0,Normal transaction in food
shopping,2293.17,0.91,12,1,0,Normal transaction in shopping
shopping,90109.92,5.09,26,1,1,Unusual high spike in shopping
rent,36532.26,1.41,8,1,0,Normal transaction in rent
other,3984.34,0.78,10,1,0,Normal transaction in other
health,4060.07,0.59,23,0,0,Normal transaction in health
education,7435.67,1.2,10,0,0,Normal transaction in education
other,2279.78,0.73,3,1,0,Normal transaction in other
education,4270.73,1.38,28,1,0,Normal transaction in education
health,2969.58,0.21,26,1,0,Normal transaction in health
transport,2834.43,0.38,28,1,0,Normal transaction in transport
transport,1764.21,0.69,12,0,0,Normal transaction in transport
entertainment,2052.66,0.66,7,1,0,Normal transaction in entertainment
health,5988.94,0.25,23,1,0,Normal transaction in health
other,4187.88,0.85,3,1,0,Normal transaction in other
shopping,6368.66,1.77,3,1,0,Normal transaction in shopping
transport,2428.95,0.91,5,0,0,Normal transaction in transport
health,6765.77,1.65,13,0,0,Normal transaction in health
other,4911.91,0.82,24,0,0,Normal transaction in other
shopping,3249.51,0.69,25,0,0,Normal transaction in shopping
education,24703.22,1.46,5,0,0,Normal transaction in education
health,1048.9,1.1,22,0,0,Normal transaction in health
transport,4349.97,1.22,11,1,0,Normal transaction in transport
transport,190.33,1.09,14,1,0,Normal transaction in transport
other,1840.96,0.75,26,1,0,Normal transaction in other
shopping,76367.72,6.55,17,1,1,Unusual high spike in shopping
other,5151.54,0.54,4,0,0,Normal transaction in other
rent,16145.26,1.16,21,0,0,Normal transaction in rent
shopping,6138.7,0.71,24,0,0,Normal transaction in shopping
rent,19812.39,0.6,4,0,0,Normal transaction in rent
food,1451.66,0.47,2,1,0,Normal transaction in food
shopping,3861.61,1.33,26,0,0,Normal transaction in shopping
education,2834.73,1.72,12,1,0,Normal transaction in education
transport,3803.91,1.05,2,1,0,Normal transaction in transport
food,1587.61,0.45,6,1,0,Normal transaction in food
health,1377.52,1.6,22,1,0,Normal transaction in health
entertainment,515.65,1.03,11,0,0,Normal transaction in entertainment
entertainment,952.29,1.75,12,1,0,Normal transaction in entertainment
shopping,16406.26,1.33,6,0,0,Normal transaction in shopping
shopping,17029.58,0.61,28,0,0,Normal transaction in shopping
entertainment,1976.41,1.25,6,1,0,Normal transaction in entertainment
health,527.14,0.95,9,0,0,Normal transaction in health
shopping,16043.88,1.37,26,0,0,Normal transaction in shopping
education,9872.35,1.74,4,0,0,Normal transaction in education
transport,345.71,1.37,2,1,0,Normal transaction in transport
rent,8637.84,0.24,28,1,0,Normal transaction in rent
transport,3224.16,1.24,22,0,0,Normal transaction in transport
health,3105.86,1.52,19,1,0,Normal transaction in health
transport,1860.74,1.44,22,0,0,Normal transaction in transport
education,10637.25,0.22,21,0,0,Normal transaction in education
transport,1442.86,1.79,28,0,0,Normal transaction in transport
health,4291.7,0.97,4,1,0,Normal transaction in health
education,1848.03,0.99,22,0,0,Normal transaction in education
other,3663.54,1.36,10,1,0,Normal transaction in other
food,713.63,1.75,14,0,0,Normal transaction in food
food,180.44,0.89,11,1,0,Normal transaction in food
food,1416.45,1.54,26,1,0,Normal transaction in food
transport,380.61,1.62,8,1,0,Normal transaction in transport
rent,17960.91,1.16,1,0,0,Normal transaction in rent
transport,4126.69,1.44,6,1,0,Normal transaction in transport
entertainment,1458.86,1.4,14,0,0,Normal transaction in entertainment
food,1230.52,0.25,22,1,0,Normal transaction in food
transport,3959.0,0.2,17,0,0,Normal transaction in transport
shopping,12844.55,1.26,10,1,0,Normal transaction in shopping
transport,3134.47,1.19,7,0,0,Normal transaction in transport
entertainment,2685.01,0.58,27,1,0,Normal transaction in entertainment
rent,33241.17,0.46,27,0,0,Normal transaction in rent
entertainment,1027.05,1.67,7,1,0,Normal transaction in entertainment
health,7476.11,1.3,10,0,0,Normal transaction in health
education,3587.64,0.61,12,0,0,Normal transaction in education
food,3344.43,0.95,16,1,0,Normal transaction in food
other,4873.61,0.76,11,1,0,Normal transaction in other
entertainment,380.4,0.44,6,0,0,Normal transaction in entertainment
food,766.33,1.0,24,0,0,Normal transaction in food
shopping,2799.44,1.4,6,1,0,Normal transaction in shopping
education,12133.16,1.41,4,0,0,Normal transaction in education
food,22352.77,5.56,16,0,1,Unusual high spike in food
other,2808.77,1.76,20,1,0,Normal transaction in other
shopping,10262.31,1.42,1,0,0,Normal transaction in shopping
other,3664.77,1.75,13,1,0,Normal transaction in other
entertainment,2193.88,0.88,16,1,0,Normal transaction in entertainment
shopping,6921.24,0.41,10,1,0,Normal transaction in shopping
food,841.87,0.75,6,1,0,Normal transaction in food
shopping,6036.21,0.39,27,1,0,Normal transaction in shopping
shopping,16779.29,1.61,27,0,0,Normal transaction in shopping
entertainment,2576.3,0.52,6,1,0,Normal transaction in entertainment
transport,1943.2,1.12,1,0,0,Normal transaction in transport
rent,191876.92,5.37,19,1,1,Unusual high spike in rent
rent,20306.76,0.44,14,0,0,Normal transaction in rent
transport,52.01,0.69,24,0,0,Normal transaction in transport
education,24156.57,0.58,3,1,0,Normal transaction in education
other,2902.94,0.23,7,0,0,Normal transaction in other
health,6116.94,0.32,21,0,0,Normal transaction in health
education,12265.26,1.29,13,1,0,Normal transaction in education
rent,14149.11,1.6,12,1,0,Normal transaction in rent
transport,697.61,1.04,26,0,0,Normal transaction in transport
shopping,1533.95,1.63,13,0,0,Normal transaction in shopping
shopping,15288.98,1.74,10,0,0,Normal transaction in shopping
entertainment,2413.49,1.51,4,0,0,Normal transaction in entertainment
other,888.52,1.7,20,0,0,Normal transaction in other
other,1575.31,1.05,22,1,0,Normal transaction in other
education,10948.33,1.49,6,1,0,Normal transaction in education
food,1819.14,0.8,20,1,0,Normal transaction in food
other,1315.85,0.21,12,1,0,Normal transaction in other
education,18817.94,0.8,22,1,0,Normal transaction in education
entertainment,2013.18,1.63,6,0,0,Normal transaction in entertainment
health,6007.2,0.93,12,0,0,Normal transaction in health
transport,65.34,1.37,4,0,0,Normal transaction in transport
other,5574.44,0.33,8,1,0,Normal transaction in other
transport,3817.74,0.74,22,0,0,Normal transaction in transport
health,522.58,0.67,21,0,0,Normal transaction in health
other,3039.0,1.15,23,1,0,Normal transaction in other
rent,40566.63,0.86,15,0,0,Normal transaction in rent
health,4967.32,0.36,7,0,0,Normal transaction in health
health,5788.83,0.88,26,1,0,Normal transaction in health
entertainment,2420.8,0.95,19,1,0,Normal transaction in entertainment
entertainment,1960.69,1.64,26,1,0,Normal transaction in entertainment
transport,1043.39,1.57,10,0,0,Normal transaction in transport
rent,36669.73,0.92,18,1,0,Normal transaction in rent
health,4297.78,1.73,5,0,0,Normal transaction in health
other,674.57,0.31,25,0,0,Normal transaction in other
rent,25585.32,0.64,13,0,0,Normal transaction in rent
entertainment,288.59,1.01,18,1,0,Normal transaction in entertainment
other,4784.62,1.02,20,1,0,Normal transaction in other
shopping,6059.98,1.57,1,1,0,Normal transaction in shopping
shopping,3848.79,1.14,14,1,0,Normal transaction in shopping
education,116524.53,6.01,14,0,1,Unusual high spike in education
health,26138.83,5.74,26,0,1,Unusual high spike in health
health,6991.91,0.36,5,1,0,Normal transaction in health
shopping,10129.22,1.29,6,0,0,Normal transaction in shopping
education,12425.76,1.67,12,0,0,Normal transaction in education
other,870.91,0.87,26,0,0,Normal transaction in other
health,42051.93,3.98,7,1,1,Unusual high spike in health
shopping,6119.81,0.44,2,1,0,Normal transaction in shopping
transport,3966.91,1.36,22,0,0,Normal transaction in transport
education,8933.86,1.69,8,0,0,Normal transaction in education
transport,1832.2,0.79,3,1,0,Normal transaction in transport
education,3443.93,1.16,13,0,0,Normal transaction in education
rent,35432.93,1.11,17,1,0,Normal transaction in rent
entertainment,836.49,1.42,27,0,0,Normal transaction in entertainment
shopping,9405.99,0.86,11,0,0,Normal transaction in shopping
health,6507.99,0.74,16,0,0,Normal transaction in health
